This tab has one table with the estimated resident population for State Electoral Divisions in Australia as at 30 June 2024. It ranges from cell A1 to Z451.,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4. Estimated resident population, State Electoral Divisions, Australia",,,,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2023-24",,,,,,,,,,,,,,,,,,,,,,,,,
,,ERP at 30 June,,,,,,,,,,,,,,,,,,,,,,,
40046,West Torrens,32043,32175,32229,32352,32397,32734,33290,33761,34359,34784,34929,35246,35507,35793,36007,36066,36213,36617,37080,37564,37292,37724,38738,39311
40047,Wright,38485,38197,37948,37699,37461,37328,37106,37061,36910,36632,36261,36226,36129,36051,35956,35754,35885,36011,36131,36338,36379,36472,36847,37048
,Total South Australia,1503461,1511567,1520399,1528189,1538804,1552529,1570619,1588665,1608902,1627322,1639614,1656725,1671488,1686945,1700668,1712843,1728673,1746137,1767395,1790355,1802601,1821215,1852972,1878011
50001,Albany,36069,36371,36642,36842,37369,37865,38072,38567,39138,39496,39905,40761,41490,42070,42336,42388,43067,43777,44412,45039,45639,46021,46632,47279
50002,Armadale,40225,39848,39538,39297,38927,39225,40072,41103,41871,42757,44123,45197,45987,46076,46071,45749,45873,46067,46876,47438,47663,48378,49511,50676
50003,Balcatta,33399,33590,33850,34175,34685,35309,36951,38412,39951,40985,42161,43058,43735,44027,44241,44277,44401,44711,45340,46484,46851,47307,49037,50232
50004,Baldivis,21681,21946,22065,22561,23273,24189,26090,27603,28875,30765,32689,35157,37857,40149,41969,43920,44521,45209,45901,46562,47068,47952,49449,51093
50005,Bassendean,40650,41140,41198,41556,41600,41901,42291,43160,44016,44688,45313,45699,46123,46395,46071,45511,45584,45588,46124,46588,46869,47476,48672,49700
50006,Bateman,41412,41601,41640,41660,41867,41985,42344,42649,43283,43702,44314,44753,44977,44777,44471,43837,43861,43978,44527,45265,45571,45863,47359,48691
50007,Belmont,32936,33358,33466,33887,34105,34724,35942,37232,38560,39539,40948,42543,43832,44529,45137,45596,45865,46067,46975,48115,48576,49370,51394,53085
50008,Bibra Lake,39787,40035,40114,40073,39859,39604,39823,40325,40690,41003,41513,42057,42379,42427,42497,42310,42367,42721,43097,43713,44230,44664,46090,47483
50009,Bicton,36527,36762,36923,36802,36802,37027,37574,37897,38628,39017,39824,40716,41336,41439,41251,40964,41326,41718,42332,43152,43621,43920,45030,46124
50010,Bunbury,32112,32371,32832,33726,35102,36341,36773,37865,39239,40273,41307,42133,42822,43191,43394,43234,43641,44025,44546,45239,45812,46244,46834,47478
50011,Butler,3953,4847,6175,7038,8654,9991,11923,13981,15989,18123,20300,22910,26012,28998,33261,39253,42040,44306,46479,48571,50394,52721,56325,60218
50012,Cannington,39013,39272,39812,40107,40330,40502,41978,43307,44753,46048,47647,49140,50700,51256,51785,51965,52578,53327,54253,55718,56343,56814,59534,61679
50013,Carine,41675,41389,41392,41317,41073,41040,41124,41295,41446,41625,42053,42450,42745,42603,42443,42065,42459,42976,43499,44355,44904,45201,46173,47083
50014,Central Wheatbelt,44357,44075,43885,43264,43168,42952,42778,43139,43567,43931,44337,45012,45475,45283,44837,44267,44204,43963,43767,43783,43961,44204,44745,45342
50015,Churchlands,38462,38759,39078,39315,39663,40119,40732,41534,42280,42848,43548,44781,45696,45829,45954,45809,46335,46873,47476,48187,48248,48533,50289,51480
50016,Cockburn,20609,21344,21737,22814,24032,25453,27681,29397,31334,32562,34227,36433,38506,39761,40712,41629,42577,43463,44519,46055,47421,48669,50952,52853
50017,Collie-Preston,31415,31544,31708,31999,32819,33965,34377,35440,36602,37571,38514,39845,41014,41533,41861,41859,42501,42985,43523,44225,44977,45577,46316,47261
50018,Cottesloe,37803,38125,38412,38590,38845,39002,39299,39802,40330,40583,41116,41852,42479,42819,42949,42893,43331,43719,44286,45300,45592,46152,47988,49678
50019,Darling Range,18911,19167,19391,19705,20367,21138,22091,23256,24725,25668,27458,29621,31604,33410,35446,37843,39419,40800,42439,43681,45075,46658,49038,51148
50020,Dawesville,19112,19891,21484,23025,24499,25405,26371,28045,29825,30390,31674,32976,34074,34621,35101,35542,36150,36802,37567,38524,39309,40244,41733,43219
50021,Forrestfield,32083,32518,33051,33565,34728,35045,36138,37128,38053,39153,39955,41151,42145,42755,43064,43074,43400,43803,44294,44971,45683,46285,47613,48820
50022,Fremantle,28799,29121,29195,29146,29027,29096,29620,30294,31061,31618,32488,33824,34877,35409,35794,36065,36977,37787,38640,39607,40469,41354,42993,44358
50023,Geraldton,38246,38520,38594,38737,39290,40013,40123,41135,41962,42318,42819,43748,44619,44882,44728,44343,44459,44738,44959,45488,46127,46494,46964,47402
50024,Girrawheen,46034,45388,44977,44901,44538,44310,45008,45671,46633,47189,48200,49241,49999,50069,50108,49866,49832,49905,50079,50792,50904,51035,52320,53300
50025,Hillarys,44224,43985,43817,43569,43055,42930,43158,43368,43627,43934,44540,44763,44908,44727,44465,43936,44122,44232,44542,45203,45480,45777,47104,48241
50026,Jandakot,30303,31375,32252,33525,34495,35382,36438,37395,38686,39536,40363,41217,41657,41781,41766,41555,42095,43089,43921,45160,45973,46753,48306,49633
50027,Joondalup,37172,38062,38698,39413,39702,40118,40813,41532,42274,42820,43780,44692,45407,45655,45734,45376,45345,45493,45715,46116,46407,46732,48243,49568
50028,Kalamunda,41158,41380,41454,41576,41854,42117,42433,42764,43286,43576,44067,44679,45151,45068,44903,44650,44690,44770,44974,45379,45633,45601,46521,47249
50029,Kalgoorlie,41333,40981,41038,40423,39994,39929,40465,41626,42729,43583,44535,45299,45668,44220,42760,41017,40970,40699,40465,40461,40713,40810,40921,41238
50030,Kimberley,33142,33669,33525,33885,34307,34820,35393,36337,37065,37606,38301,39292,40183,39077,38328,37559,37779,38156,38570,39208,39690,39885,40340,40865
50031,Kingsley,45163,44673,44274,43986,43405,43180,42913,42988,43005,43018,43249,43418,43523,43223,42731,42074,42141,42245,42378,42738,42992,43063,43807,44528
50032,Kwinana,19180,19477,19832,20046,20523,21698,23219,25172,27363,29095,31099,33224,35469,37456,39390,41491,42961,44602,46237,48063,49553,51799,54781,58003
50033,Landsdale,12889,14424,16493,18613,20743,23237,25819,28120,30470,32279,33991,36300,38207,39744,40978,41943,43113,44370,45608,46668,47541,48449,49780,50868
50034,Mandurah,29018,28933,29469,30546,31095,31797,32488,33874,34767,35369,36886,38096,38963,39434,39802,40028,40521,41093,41678,42683,43724,44434,46006,47139
50035,Maylands,34389,34807,35184,35324,35434,36388,37532,39159,40228,41015,42115,42872,43488,43684,43703,43658,43887,44158,44801,45636,46020,46218,47734,48906
50036,Mid-West,34336,34168,33940,33585,33396,33196,33047,33441,34120,34524,35018,35601,36115,36055,35721,35126,35203,35141,35378,35859,36531,37041,37780,38671
50037,Midland,34348,34615,34985,35256,35341,35677,36122,36659,37198,37494,38408,39469,40397,40999,41507,41972,42493,43176,43947,45084,45981,46506,48144,49398
50038,Mindarie,29016,30565,31780,33705,34859,36456,39096,41481,43663,44198,45160,46451,47097,47096,46504,45396,45408,45658,46328,46866,47122,47773,49153,50193
50039,Morley,36068,36038,36184,36368,36544,37343,38442,39470,40322,41067,42091,43384,44137,44102,44176,44052,44342,44475,44922,45766,46016,46529,47757,48807
50040,Mount Lawley,37459,37637,38002,38143,38319,38577,39464,40262,40971,41476,42411,42968,43455,43699,43710,43653,43866,44121,44511,45210,45475,45863,47410,48599
50041,Murray-Wellington,29364,29547,29873,30562,31581,32483,33065,34388,35639,36442,37058,38398,39566,40429,41001,41238,41680,42451,43051,43665,44430,45336,46607,47759
50042,Nedlands,37828,38221,38686,39445,39872,40444,41077,41873,42776,43144,43681,44849,45807,46312,46538,46573,47168,47540,48291,49380,49139,49705,52459,54299
50043,Oakford,8528,8667,8913,9130,9249,9675,10793,12408,14788,17651,20138,23468,26990,30364,34434,38653,41929,45347,48407,51659,54524,57587,61330,65023
50044,Perth,28193,29259,30089,31079,32630,33904,35703,37757,40292,41693,43255,45195,46720,47574,48254,48893,49325,50032,51215,53000,53297,54561,57821,60179
50045,Pilbara,41557,43081,44984,46790,48574,50870,52489,54853,57649,59909,62742,64702,66194,65668,64519,63171,62101,61458,61050,60939,60457,61373,62529,63377
50046,Riverton,46922,46534,46200,46137,45822,45730,45953,46286,46820,47164,47643,47963,48140,48141,48074,47738,47975,48246,48835,49755,50117,50189,51571,52619
50047,Rockingham,37942,37382,37000,37120,37273,37337,37799,38460,39279,39823,40646,41070,41214,41096,40965,40607,40611,40815,41121,41632,42283,42890,43984,44960
50048,Roe,42963,42969,43091,42881,42940,43131,42688,42579,42584,42490,42642,43108,43311,43252,43068,42345,42228,41921,41824,42007,42278,42469,42777,42914
50049,Scarborough,32151,32591,32957,33470,33851,34225,35328,36154,37426,38258,39351,40429,41372,41871,42002,42144,42731,43376,44296,45368,45956,46411,48019,49239
50050,Secret Harbour,14979,16828,19031,20862,22750,25803,28964,31221,33230,34921,36688,38635,40485,41814,42721,43563,44664,45902,47303,48351,49539,50878,52877,54966
50051,South Perth,37465,38225,38833,39344,39895,40379,41072,42003,42783,42860,43492,43969,44208,44107,43940,43713,43714,43827,44375,44895,44787,45005,46577,47714
50052,Southern River,21819,23819,25940,27824,30230,32324,34289,36824,39252,41467,43201,45377,47281,48050,48659,49042,49944,50740,51515,52502,53233,54158,55978,57619
50053,Swan Hills,11601,12283,12907,13396,14526,15956,18285,20553,22829,24680,26475,29007,31621,34212,37002,40257,41897,43362,45020,46721,48028,49716,52206,54771
50054,Thornlie,42146,41696,41554,41772,41651,41684,42313,43059,43870,44368,45018,46053,46779,47142,47300,47170,47656,47865,48511,49414,50030,50581,52233,53553
50055,Vasse,23826,24595,24935,25424,26691,27418,27900,29085,30303,31404,32292,33995,35494,36732,37775,38615,39457,40164,41059,41947,42917,43828,44898,45927
50056,Victoria Park,37959,38599,39003,39418,39986,40643,42399,44186,45634,46744,48196,49096,49754,50057,50100,50022,49986,50130,50884,52153,52161,52830,55806,57868
50057,Wanneroo,15702,16810,18107,19739,22193,24993,28483,31514,34736,36976,39409,41422,43182,44365,45295,45996,46443,46992,47673,48343,48937,49742,51355,52903
50058,Warren-Blackwood,32390,32524,32584,32438,32590,32546,32668,33175,33715,33993,34406,35471,36430,37040,37538,37936,38643,39288,40086,41075,41947,42926,43945,45071
50059,West Swan,28471,29111,29968,30646,31215,31990,32854,33437,34060,34416,34629,36517,38088,39054,39828,40557,41864,43550,45224,47154,49147,51240,54012,56729
,Total Western Australia,1906274,1928512,1952741,1979542,2011207,2050581,2106139,2171700,2240250,2290845,2353409,2425507,2486944,2517608,2540672,2555978,2585720,2617792,2659625,2712912,2749365,2791794,2883762,2965078
60105,Bass (Launceston),21593,21692,21934,22138,22350,22410,22524,22787,23017,23178,23235,23229,23202,23181,23188,23263,23668,24100,24496,24831,24967,24950,24869,24826
60106,Bass (McIntyre),8300,8296,8253,8166,8228,8135,8115,8104,8074,8042,7968,7917,7855,7791,7716,7663,7675,7691,7730,7800,7921,7943,7933,7945
60113,Bass (Rosevears),32332,32417,32707,33168,33373,33629,33926,34176,34491,34730,35042,34986,35010,35065,35174,35256,35873,36501,37128,37745,38456,38561,38708,38730
60115,Bass (Windermere),36102,36167,36683,36982,37151,37232,37566,37843,38124,38420,38549,38356,38199,38105,37994,37964,38510,39164,39886,40752,41288,41583,41697,41574
60207,Braddon (Mersey),32790,32727,33150,33574,33800,33837,34162,34696,35284,35701,35973,35850,35783,35806,35825,35993,36592,37348,38129,38811,39536,39823,40023,40099
60208,Braddon (Montgomery),31221,31044,31197,31254,31086,31447,31567,31893,32202,32343,32391,32188,31929,31673,31452,31215,31508,31896,32276,32738,33215,33355,33364,33413
60209,Braddon (Murchison),38421,38275,38464,38692,38724,38934,39077,39314,39451,39464,39350,38940,38529,38160,37806,37532,37698,38065,38453,38881,39480,39579,39651,39630
60301,Clark (Derwent),13644,13716,13945,14129,14175,14306,14484,14672,14858,14955,15052,15105,15178,15246,15262,15333,15599,15897,16158,16355,16558,16566,16820,17028
60302,Clark (Elwick),33144,32951,33142,33074,32594,32507,32581,32735,33042,33230,33263,33328,33447,33661,33933,34254,35274,36247,37071,37504,37866,37656,37270,36943
60303,Clark (Hobart),30700,30902,31327,31714,32083,32140,32435,32642,32834,32998,33077,33092,33232,33444,33635,33963,34854,35577,36386,37077,37153,37176,37330,37127
60304,Clark (Huon),249,254,260,267,279,285,302,323,348,364,381,380,374,364,364,356,353,354,356,360,359,370,376,368
60310,Clark (Nelson),18880,18927,19105,19303,19408,19423,19434,19568,19813,20036,20159,20313,20434,20651,20796,20913,21235,21535,21894,21909,21525,21568,21449,21527
60404,Franklin (Huon),26865,27045,27275,27690,28071,28431,28929,29502,30087,30726,31286,31604,31952,32340,32685,33097,33898,34789,35566,36307,37059,37527,37819,38216
60410,Franklin (Nelson),10861,10885,11220,11407,11597,11705,12007,12369,12746,13054,13297,13353,13429,13536,13724,13931,14361,14833,15315,15689,16152,16302,16575,16801
60411,Franklin (Pembroke),28009,27819,27802,27843,27885,27946,27926,28064,28294,28620,28816,28933,29074,29315,29528,29706,30284,30986,31595,32063,32648,32694,32740,32703
60414,Franklin (Rumney),19927,19994,20175,20394,20601,20861,21129,21450,21823,22106,22338,22633,22965,23269,23644,24094,24673,25375,26114,26919,27887,28569,29180,29468
60501,Lyons (Derwent),19320,19238,19362,19477,19710,19842,19911,20047,20179,20278,20336,20291,20229,20183,20146,20123,20401,20861,21351,21887,22529,22817,23096,23272
60505,Lyons (Launceston),8916,9060,9200,9432,9425,9621,9733,9841,9955,10017,10001,9971,9950,9927,9923,9962,10052,10190,10285,10399,10560,10615,10642,10595
60506,Lyons (McIntyre),27135,27234,27383,27728,28021,28208,28316,28440,28608,28731,28820,28743,28684,28673,28629,28652,29023,29459,29877,30418,31431,31758,32068,32480
60508,Lyons (Montgomery),4099,4111,4140,4247,4363,4445,4567,4706,4872,4909,4913,4917,4898,4907,4889,4889,4952,5028,5086,5182,5341,5382,5401,5439
60512,Lyons (Prosser),24537,24770,25121,25713,26372,26904,27345,27960,28632,29089,29300,29546,29674,29936,30229,30582,31245,32056,33026,34036,35200,35910,36255,36759
60514,Lyons (Rumney),6623,6628,6689,6786,6906,7054,7226,7436,7619,7856,7936,8049,8204,8388,8575,8773,9034,9339,9663,9915,10108,10347,10472,10553
,Total Tasmania,473668,474152,478534,483178,486202,489302,493262,498568,504353,508847,511483,511724,512231,513621,515117,517514,526762,537291,547841,557578,567239,571051,573738,575496
70001,Arafura,8711,8680,8666,8693,8779,8912,9069,9350,9689,9955,10132,10200,10291,10059,9908,9718,9698,9729,9801,9873,9917,10005,10149,10221
70002,Araluen,10146,10116,10165,10158,10163,10256,10213,10384,10713,10846,10867,10794,10702,10563,10390,10223,10322,10421,10562,10730,10912,11103,11165,11199
70003,Arnhem,9125,9219,9263,9365,9505,9678,9863,10015,10353,10473,10527,10618,10706,10701,10717,10677,10619,10621,10673,10705,10770,10848,10854,10839
70004,Barkly,10159,10105,9957,9906,10034,10127,10356,10536,10653,10698,10701,10661,10577,10356,10197,9944,9849,9749,9703,9706,9640,9680,9706,9735
70005,Blain,7305,7275,7205,7167,7204,7216,7269,7314,7358,7335,7242,7666,8198,8610,9047,9265,9217,9203,9160,9188,9214,9247,9268,9108
70006,Braitling,9841,9792,9679,9625,9587,9581,9705,9789,9920,10003,10024,10010,9917,9548,9173,9093,9266,9389,9483,9596,9703,9794,9916,9936
70007,Brennan,3809,4072,4117,4186,4413,4800,5262,5800,6307,6743,7060,7252,7630,7902,8005,7922,8172,8363,9107,9482,9844,10145,10510,10948
70008,Casuarina,6134,6077,6034,6054,6058,6057,6187,6510,7199,7774,8137,8723,9426,9720,9799,10046,10369,10456,10566,10625,10612,10626,10800,10977
70009,Daly,7549,7674,7731,7848,8063,8284,8621,8911,9274,9589,9816,9994,10181,10435,10657,10709,10606,10460,10355,10298,10227,10269,10299,10338
70010,Drysdale,8015,8315,8298,8438,8695,8906,9113,9377,9535,9543,9499,9588,9589,9559,9475,9438,9399,9353,9280,9194,9169,9189,9210,9187
70011,Fannie Bay,7773,7764,7806,7873,7967,8036,8181,8358,8459,8505,8481,8765,9071,9217,9403,9512,9645,9570,9460,9419,9358,9333,9442,9420
70012,Fong Lim,7681,7743,7902,8271,8860,9252,9638,9951,10238,10282,10190,10240,10372,9630,9053,8870,8915,8729,8670,8819,8937,8928,9064,9203
70013,Goyder,6799,6890,6964,7058,7252,7450,7911,8394,8807,9179,9388,9554,9781,10018,10106,10150,10107,10035,9972,9968,10038,10161,10285,10479
70014,Gwoja,11134,10995,10759,10581,10503,10420,10307,10273,10252,10190,10038,10188,10299,10257,10213,10061,9970,9886,9861,9744,9673,9748,9838,9875
70015,Johnston,9035,8987,8892,8889,8987,9019,9028,9083,9115,9132,9075,9130,9247,9180,9114,9054,9049,8972,8914,8870,8857,8839,8880,8859
70016,Karama,9466,9342,9193,9120,9086,9124,9168,9230,9290,9297,9219,9185,9239,9245,9131,8998,9076,9043,8971,8938,8896,8875,8890,8866
70017,Katherine,8789,8748,8686,8670,8729,8790,8890,9116,9357,9488,9476,9621,9722,9700,9632,9509,9527,9562,9596,9587,9549,9686,9703,9732
70018,Mulka,9619,9731,9779,9941,10376,10703,10900,11194,11377,11548,11515,11626,11776,11390,10431,10312,10353,10362,10404,10431,10458,10516,10608,10663
70019,Namatjira,9886,10030,10098,10162,10290,10361,10496,10757,10842,10933,10910,10986,11053,10947,10864,10781,10870,10990,11152,11293,11475,11578,11873,12227
70020,Nelson,7520,7490,7484,7547,7640,7739,8135,8636,9043,9293,9435,10116,10880,11370,12686,13201,13088,12515,11448,11300,11068,11148,11308,11600
70021,Nightcliff,8463,8457,8443,8468,8618,8757,9008,9237,9442,9552,9543,9737,10040,10033,9995,10014,10056,9983,9915,9814,9709,9604,9643,9701
70022,Port Darwin,5441,5495,5533,5651,5922,6078,6428,7099,7839,8339,8554,9065,9646,10207,11010,11610,12026,11842,11704,11732,11727,11721,12066,12261
70023,Sanderson,9471,9351,9220,9156,9166,9152,9229,9299,9405,9428,9851,9968,10081,9679,9667,9629,9544,9476,9452,9360,9299,9374,9462,9448
70024,Spillett,2725,2867,2924,2978,3164,3501,3858,4296,4563,4644,4648,5194,6123,7030,7782,8456,9060,9726,9710,10097,10358,10913,11199,11375
70025,Wanguri,7147,7036,6927,6858,6844,6858,6913,6965,6997,7009,6964,7034,7175,7538,8237,8486,8609,8660,8640,8659,8741,8898,8924,8872
,Total Northern Territory,201743,202251,201725,202663,205905,209057,213748,219874,226027,229778,231292,235915,241722,242894,244692,245678,247412,247095,246559,247428,248151,250228,253062,255069
80001,Brindabella,91771,91555,91417,90790,90449,90240,90681,90751,90994,90767,89628,89322,88434,87393,86573,86116,86539,87089,87702,88535,89278,89084,89425,89566
80002,Ginninderra,74175,75035,75484,75416,75645,75981,78279,79793,81494,83816,84628,85499,86236,86299,86199,86570,88789,91104,92658,93535,94642,95109,96795,97461
80003,Kurrajong,52119,53068,54295,55367,56633,58428,60388,61658,63126,64366,65809,67597,68921,69826,71060,72745,75780,78139,80406,82334,83438,85399,88249,90338
80004,Murrumbidgee,66859,66920,66359,65927,66164,66425,66938,67328,67873,68482,68538,69292,70039,70867,72807,74602,76953,79130,81116,83895,86516,88010,90324,93290
80005,Yerrabi,36614,38049,39802,41440,42508,44096,46358,48838,51298,54335,59382,64829,69627,74414,79174,83071,86985,90619,93848,96604,98634,99313,101566,103200
,Total Australian Capital Territory,321538,324627,327357,328940,331399,335170,342644,348368,354785,361766,367985,376539,383257,388799,395813,403104,415046,426081,435730,444903,452508,456915,466359,473855
99191,Unclassified (OT),2584,2397,2336,2356,2381,2379,2514,2683,2876,3055,3117,3033,2962,2896,2851,4608,4671,4725,4776,4803,4850,4920,4967,4994
,Total Other Territories,2584,2397,2336,2356,2381,2379,2514,2683,2876,3055,3117,3033,2962,2896,2851,4608,4671,4725,4776,4803,4850,4920,4967,4994
(a) Based on 2024 SED boundaries,,,,,,,,,,,,,,,,,,,,,,,,,
© Commonwealth of Australia,,,,,,,,,,,,,,,,,,,,,,,,,
